Genes,C. elegans,Drosophila,Xenopus,Mice,Human,Correlation
EP400,5.20,5.90,6.90,7.60,7.60,1.00
TULP3,1.60,2.60,3.60,4.80,5.20,0.99
SSBP3,2.60,4.00,5.00,5.90,6.40,0.99
UBE2L3,1.60,3.30,5.00,6.90,6.60,0.99
ARID4B,1.60,2.60,5.40,7.70,7.10,0.99
PRRX1,1.60,3.30,4.70,7.30,7.50,0.98
ETV1,3.00,4.30,6.60,10.00,10.70,0.98
MAK,1.00,2.00,3.60,4.80,6.20,0.98
CHD3,4.30,4.30,7.50,10.10,10.60,0.98
HOXC4,2.00,2.60,3.80,4.90,6.00,0.98
ING3,1.00,1.60,3.00,5.30,5.30,0.98
HHEX,2.00,3.50,6.00,6.00,7.20,0.98
ZMYND11,1.00,2.00,5.00,9.70,10.40,0.97
HOXB4,2.00,2.60,3.80,3.90,4.00,0.97
PARP1,2.00,2.30,3.90,6.00,6.60,0.97
ZNF260,2.80,5.00,6.30,7.20,8.70,0.97
FOXB1,1.60,2.60,4.20,4.20,4.60,0.97
FOXD2,1.60,2.60,4.20,4.20,4.60,0.97
ARNT,4.20,6.20,7.50,10.00,9.30,0.97
CHD4,4.30,4.30,6.60,9.70,9.70,0.96
ARNT2,4.20,6.20,7.00,10.30,10.20,0.96
HCFC1,2.60,4.30,4.90,7.60,7.60,0.96
TRAF6,1.00,2.60,4.60,4.60,6.60,0.96
NEUROG3,1.60,2.30,3.20,3.30,3.30,0.96
FOXF2,2.30,2.60,3.80,4.00,3.80,0.96
SF1,4.00,5.90,6.30,8.60,9.40,0.96
TDRD3,1.00,1.00,3.00,6.10,6.90,0.95
SSRP1,2.00,2.60,3.30,5.50,5.30,0.95
SMARCAD1,1.00,1.00,3.00,4.00,5.80,0.95
EHMT1,3.60,7.50,8.50,12.50,11.50,0.95
ARID4A,1.60,2.60,6.10,5.40,7.90,0.95
ZNF142,4.00,3.00,8.00,9.10,9.20,0.94
SP1,2.60,5.60,7.10,9.90,8.50,0.94
FOXN3,2.00,5.00,5.30,7.70,9.20,0.94
MYEF2,3.60,3.00,5.60,8.30,7.40,0.93
PAX7,3.80,4.30,4.80,6.20,7.30,0.93
EHMT2,3.60,7.50,7.60,11.70,11.30,0.93
BAZ1A,4.00,4.30,5.30,8.80,8.60,0.93
TULP2,1.60,2.60,2.60,4.20,4.90,0.92
SETD3,1.00,1.00,2.00,4.90,5.60,0.92
TFAP2B,2.00,2.60,3.30,3.90,3.30,0.92
PSIP1,2.00,2.00,3.00,6.60,7.20,0.91
SMAD1,1.00,5.00,4.90,6.90,9.60,0.90
KAT8,2.00,2.30,2.60,3.30,4.30,0.90
HCFC2,2.60,4.30,4.30,6.30,5.60,0.90
BNC2,1.00,3.00,3.00,9.10,8.40,0.90
EYA2,1.00,1.60,2.00,3.00,4.60,0.90
PRRX2,1.60,3.30,4.70,6.70,4.90,0.90
TUB,1.60,2.60,2.60,4.80,4.20,0.90
PBX1,1.60,4.00,3.60,6.60,8.50,0.90
TULP1,1.60,2.60,2.60,5.20,4.60,0.90
MYT1,1.00,2.60,2.60,4.20,3.60,0.90
E2F4,1.00,2.00,2.00,2.60,3.60,0.90
RREB1,2.30,6.90,5.80,11.50,11.70,0.90
PRDM16,3.60,3.20,4.60,9.90,9.30,0.89
PHOX2A,1.60,3.30,3.70,3.70,4.90,0.89
E2F5,1.00,2.00,2.00,3.60,5.20,0.89
SETDB1,4.60,4.80,5.50,8.60,10.70,0.89
BLM,3.60,3.20,5.90,6.50,5.60,0.89
SMARCA2,2.30,7.50,6.30,11.00,11.50,0.89
MLX,1.00,1.00,1.60,5.60,5.60,0.89
AEBP1,3.20,4.50,5.60,5.00,6.00,0.88
TAF6,1.00,2.00,2.00,3.30,4.90,0.88
TEF,1.00,1.60,1.60,4.60,4.20,0.88
PITX2,7.00,6.20,7.60,9.70,11.30,0.88
PAX9,2.80,3.30,3.20,5.20,5.80,0.88
DNAJC2,2.60,4.60,4.00,6.30,6.30,0.88
CCNC,2.30,2.30,2.80,4.80,6.30,0.88
PAX1,2.80,3.30,3.20,5.80,6.30,0.88
SP3,2.60,5.60,7.80,6.50,8.70,0.87
NR4A3,3.20,3.00,3.80,5.90,7.80,0.87
KLF11,2.60,6.80,7.40,7.50,9.70,0.87
NFIX,3.20,2.00,4.00,6.60,8.90,0.87
ZNF513,4.00,3.00,4.60,7.70,7.10,0.87
FOXD3,1.60,2.60,5.20,4.20,4.60,0.87
EVX1,2.60,3.50,6.50,5.30,5.90,0.87
NR4A2,3.20,3.00,3.80,7.10,9.40,0.87
ARID2,1.00,1.00,1.60,2.60,4.30,0.87
ILF2,1.00,1.00,4.00,3.30,7.30,0.87
NFIA,3.20,2.00,3.60,7.40,9.20,0.86
MECOM,3.60,3.20,4.00,10.80,11.70,0.86
CNBP,4.40,3.60,4.60,8.50,9.70,0.86
BCL11B,4.80,6.30,5.80,7.30,7.30,0.86
PAX3,3.80,4.30,5.80,6.20,10.00,0.86
BARHL1,2.00,4.50,4.00,7.20,6.00,0.86
TFAP2A,2.00,2.60,3.90,3.30,5.50,0.86
HDAC1,1.60,1.00,2.00,2.30,3.00,0.85
HOXD4,2.00,2.60,3.80,5.90,4.00,0.85
PBRM1,4.90,3.00,5.10,10.30,10.60,0.85
BCL11A,4.80,6.30,5.90,7.00,8.50,0.85
NCOR1,4.60,5.00,4.90,10.00,9.60,0.85
CTCF,2.30,5.00,7.50,5.80,7.60,0.84
REXO4,1.00,1.00,1.00,3.60,4.00,0.84
TCEA1,1.60,4.60,3.60,5.60,7.50,0.84
GTF2A2,1.00,1.00,1.00,2.30,2.60,0.84
DACH2,1.00,2.60,2.00,3.30,3.60,0.84
POU2F2,5.50,7.30,6.00,11.10,12.10,0.83
AIP,1.00,3.00,2.00,4.60,4.60,0.83
SIX1,2.00,1.60,2.30,2.60,3.60,0.83
ETV4,3.00,4.30,3.60,6.90,9.50,0.83
PAX6,6.40,6.30,6.20,10.80,11.70,0.83
HDAC2,1.60,1.00,2.00,3.30,5.60,0.83
KDM4C,1.00,4.00,2.60,5.60,8.20,0.83
GCFC2,1.00,1.60,2.00,2.00,3.80,0.83
TAF7,1.00,1.00,1.00,1.60,2.00,0.82
CREBBP,5.60,3.30,5.80,8.90,8.90,0.82
EYA1,1.00,1.60,3.00,5.00,2.80,0.82
SP2,2.60,5.60,7.40,9.50,6.50,0.82
HDAC4,3.30,4.00,3.60,4.60,5.40,0.82
HOXA4,2.00,2.60,3.80,3.90,8.00,0.82
LMCD1,3.00,3.60,4.60,4.80,8.60,0.81
ZEB2,2.30,6.40,3.80,10.50,10.60,0.81
GATAD2A,1.00,2.30,3.00,2.60,5.80,0.80
TFAP2C,2.00,2.60,2.30,3.90,3.30,0.80
KLF13,2.60,6.80,5.40,7.10,8.90,0.80
KMT2C,3.60,6.30,4.00,10.50,10.90,0.80
DYRK1B,2.30,6.60,6.40,6.30,8.70,0.80
