index,ensembl_id,human_name,gene_name,species,isoforms,paralogues,motifs,complexity,iso_log2,par_log2,mot_log2,complexity_norm
0,ENSG00000001167,NFYA,NFYA,homo_sapiens,2,1,2,5,1,0,1,2
0,ENSMUSG00000023994,NFYA,Nfya,mus_musculus,9,1,7,17,3.2,0,2.8,6
0,ENSXETG00000011865,NFYA,nfya,xenopus_tropicalis,2,1,4,7,1,0,2,3
0,FBgn0035993,NFYA,Nf-YA,drosophila_melanogaster,1,1,1,3,0,0,0,0
0,WBGene00043056,NFYA,nfya-2,caenorhabditis_elegans,3,2,3,8,1.6,1,1.6,4.2
3,ENSG00000005102,MEOX1,MEOX1,homo_sapiens,4,20,3,27,2,4.3,1.6,7.9
3,ENSMUSG00000001493,MEOX1,Meox1,mus_musculus,1,20,1,22,0,4.3,0,4.3
3,FBgn0014949,MEOX1,btn,drosophila_melanogaster,1,11,1,13,0,3.5,0,3.5
3,WBGene00000436,MEOX1,ceh-12,caenorhabditis_elegans,1,6,1,8,0,2.6,0,2.6
4,ENSG00000005436,GCFC2,GCFC2,homo_sapiens,7,2,0,9,2.8,1,0,3.8
4,ENSMUSG00000035125,GCFC2,Gcfc2,mus_musculus,2,2,0,4,1,1,0,2
4,ENSXETG00000007803,GCFC2,gcfc2,xenopus_tropicalis,2,2,0,4,1,1,0,2
4,FBgn0037466,GCFC2,CG1965,drosophila_melanogaster,3,1,0,4,1.6,0,0,1.6
4,WBGene00009672,GCFC2,F43G9.12,caenorhabditis_elegans,2,1,0,3,1,0,0,1
8,ENSG00000006047,YBX2,YBX2,homo_sapiens,2,3,0,5,1,1.6,0,2.6
8,ENSMUSG00000018554,YBX2,Ybx2,mus_musculus,3,3,0,6,1.6,1.6,0,3.2
8,ENSXETG00000025267,YBX2,ybx2,xenopus_tropicalis,1,3,1,5,0,1.6,0,1.6
8,FBgn0022959,YBX2,yps,drosophila_melanogaster,2,1,0,3,1,0,0,1
8,WBGene00000472,YBX2,cey-1,caenorhabditis_elegans,1,0,0,1,0,0,0,0
11,ENSG00000006468,ETV1,ETV1,homo_sapiens,14,13,9,36,3.8,3.7,3.2,10.7
11,ENSMUSG00000004151,ETV1,Etv1,mus_musculus,11,13,7,31,3.5,3.7,2.8,10
11,ENSXETG00000005062,ETV1,etv1,xenopus_tropicalis,2,12,4,18,1,3.6,2,6.6
11,FBgn0039225,ETV1,Ets96B,drosophila_melanogaster,2,5,2,9,1,2.3,1,4.3
11,WBGene00016600,ETV1,ets-5,caenorhabditis_elegans,2,2,2,6,1,1,1,3
13,ENSG00000007372,PAX6,PAX6,homo_sapiens,15,9,24,39,3.9,3.2,4.6,11.7
13,ENSMUSG00000027168,PAX6,Pax6,mus_musculus,11,9,18,36,3.5,3.2,4.2,10.8
13,ENSXETG00000008175,PAX6,pax6,xenopus_tropicalis,2,9,4,15,1,3.2,2,6.2
13,FBgn0019650,PAX6,toy,drosophila_melanogaster,2,10,4,14,1,3.3,2,6.3
13,WBGene00006870,PAX6,vab-3,caenorhabditis_elegans,3,7,4,14,1.6,2.8,2,6.4
14,ENSG00000007866,TEAD3,TEAD3,homo_sapiens,3,4,1,8,1.6,2,0,3.6
14,ENSMUSG00000002249,TEAD3,Tead3,mus_musculus,4,5,4,13,2,2.3,2,6.3
14,FBgn0003345,TEAD3,sd,drosophila_melanogaster,21,1,21,43,4.4,0,4.4,8.8
14,WBGene00001208,TEAD3,egl-44,caenorhabditis_elegans,5,1,5,11,2.3,0,2.3,4.6
15,ENSG00000007968,E2F2,E2F2,homo_sapiens,1,6,0,7,0,2.6,0,2.6
15,ENSMUSG00000018983,E2F2,E2f2,mus_musculus,1,6,0,7,0,2.6,0,2.6
15,FBgn0011766,E2F2,E2f1,drosophila_melanogaster,6,2,0,8,2.6,1,0,3.6
15,WBGene00001162,E2F2,efl-2,caenorhabditis_elegans,4,2,0,2,2,1,0,3
16,ENSG00000008083,JARID2,JARID2,homo_sapiens,2,5,6,13,1,2.3,2.6,5.9
16,ENSMUSG00000038518,JARID2,Jarid2,mus_musculus,8,5,13,26,3,2.3,3.7,9
16,ENSXETG00000015433,JARID2,jarid2,xenopus_tropicalis,1,5,3,9,0,2.3,1.6,3.9
16,FBgn0036004,JARID2,Jarid2,drosophila_melanogaster,1,2,3,6,0,1,1.6,2.6
16,WBGene00004319,JARID2,rbr-2,caenorhabditis_elegans,2,1,8,11,1,0,3,4
17,ENSG00000008196,TFAP2B,TFAP2B,homo_sapiens,2,5,0,7,1,2.3,0,3.3
17,ENSMUSG00000025927,TFAP2B,Tfap2b,mus_musculus,3,5,0,8,1.6,2.3,0,3.9
17,ENSXETG00000021674,TFAP2B,tfap2b,xenopus_tropicalis,2,5,0,7,1,2.3,0,3.3
17,FBgn0261953,TFAP2B,TfAP-2,drosophila_melanogaster,6,1,0,7,2.6,0,0,2.6
17,WBGene00019424,TFAP2B,aptf-1,caenorhabditis_elegans,1,4,0,5,0,2,0,2
18,ENSG00000008197,TFAP2D,TFAP2D,homo_sapiens,1,5,0,6,0,2.3,0,2.3
