Index,GeneID,HumanName,Name,Species,complexity,isoforms,paralogues,motifs,complexity
0,ENSG00000001167,NFYA,NFYA,homo_sapiens,5,2,1,2,5
0,ENSMUSG00000023994,NFYA,Nfya,mus_musculus,17,9,1,7,17
0,ENSXETG00000011865,NFYA,nfya,xenopus_tropicalis,7,2,1,4,7
0,FBgn0035993,NFYA,Nf-YA,drosophila_melanogaster,3,1,1,1,3
0,WBGene00043056,NFYA,nfya-2,caenorhabditis_elegans,8,3,2,3,8
3,ENSG00000005102,MEOX1,MEOX1,homo_sapiens,27,4,20,3,27
3,ENSMUSG00000001493,MEOX1,Meox1,mus_musculus,22,1,20,1,22
3,FBgn0014949,MEOX1,btn,drosophila_melanogaster,13,1,11,1,13
3,WBGene00000436,MEOX1,ceh-12,caenorhabditis_elegans,8,1,6,1,8
4,ENSG00000005436,GCFC2,GCFC2,homo_sapiens,9,7,2,0,9
4,ENSMUSG00000035125,GCFC2,Gcfc2,mus_musculus,4,2,2,0,4
4,ENSXETG00000007803,GCFC2,gcfc2,xenopus_tropicalis,4,2,2,0,4
4,FBgn0037466,GCFC2,CG1965,drosophila_melanogaster,4,3,1,0,4
4,WBGene00009672,GCFC2,F43G9.12,caenorhabditis_elegans,3,2,1,0,3
8,ENSG00000006047,YBX2,YBX2,homo_sapiens,5,2,3,0,5
8,ENSMUSG00000018554,YBX2,Ybx2,mus_musculus,6,3,3,0,6
8,ENSXETG00000025267,YBX2,ybx2,xenopus_tropicalis,5,1,3,1,5
8,FBgn0022959,YBX2,yps,drosophila_melanogaster,3,2,1,0,3
8,WBGene00000472,YBX2,cey-1,caenorhabditis_elegans,1,1,0,0,1
11,ENSG00000006468,ETV1,ETV1,homo_sapiens,36,14,13,9,36
11,ENSMUSG00000004151,ETV1,Etv1,mus_musculus,31,11,13,7,31
11,ENSXETG00000005062,ETV1,etv1,xenopus_tropicalis,18,2,12,4,18
11,FBgn0039225,ETV1,Ets96B,drosophila_melanogaster,9,2,5,2,9
11,WBGene00016600,ETV1,ets-5,caenorhabditis_elegans,6,2,2,2,6
13,ENSG00000007372,PAX6,PAX6,homo_sapiens,39,15,9,24,39
13,ENSMUSG00000027168,PAX6,Pax6,mus_musculus,36,11,9,18,36
13,ENSXETG00000008175,PAX6,pax6,xenopus_tropicalis,15,2,9,4,15
13,FBgn0019650,PAX6,toy,drosophila_melanogaster,14,2,10,4,14
13,WBGene00006870,PAX6,vab-3,caenorhabditis_elegans,14,3,7,4,14
14,ENSG00000007866,TEAD3,TEAD3,homo_sapiens,8,3,4,1,8
14,ENSMUSG00000002249,TEAD3,Tead3,mus_musculus,13,4,5,4,13
14,FBgn0003345,TEAD3,sd,drosophila_melanogaster,43,21,1,21,43
14,WBGene00001208,TEAD3,egl-44,caenorhabditis_elegans,11,5,1,5,11
15,ENSG00000007968,E2F2,E2F2,homo_sapiens,7,1,6,0,7
15,ENSMUSG00000018983,E2F2,E2f2,mus_musculus,7,1,6,0,7
15,FBgn0011766,E2F2,E2f1,drosophila_melanogaster,8,6,2,0,8
15,WBGene00001162,E2F2,efl-2,caenorhabditis_elegans,2,4,2,0,2
16,ENSG00000008083,JARID2,JARID2,homo_sapiens,13,2,5,6,13
16,ENSMUSG00000038518,JARID2,Jarid2,mus_musculus,26,8,5,13,26
16,ENSXETG00000015433,JARID2,jarid2,xenopus_tropicalis,9,1,5,3,9
16,FBgn0036004,JARID2,Jarid2,drosophila_melanogaster,6,1,2,3,6
16,WBGene00004319,JARID2,rbr-2,caenorhabditis_elegans,11,2,1,8,11
17,ENSG00000008196,TFAP2B,TFAP2B,homo_sapiens,7,2,5,0,7
17,ENSMUSG00000025927,TFAP2B,Tfap2b,mus_musculus,8,3,5,0,8
17,ENSXETG00000021674,TFAP2B,tfap2b,xenopus_tropicalis,7,2,5,0,7
17,FBgn0261953,TFAP2B,TfAP-2,drosophila_melanogaster,7,6,1,0,7
17,WBGene00019424,TFAP2B,aptf-1,caenorhabditis_elegans,5,1,4,0,5
18,ENSG00000008197,TFAP2D,TFAP2D,homo_sapiens,6,1,5,0,6
18,ENSMUSG00000042596,TFAP2D,Tfap2d,mus_musculus,6,1,5,0,6
18,ENSXETG00000032997,TFAP2D,TFAP2D,xenopus_tropicalis,6,1,5,0,6
18,FBgn0261953,TFAP2D,TfAP-2,drosophila_melanogaster,7,6,1,0,7
18,WBGene00019424,TFAP2D,aptf-1,caenorhabditis_elegans,5,1,4,0,5
19,ENSG00000008441,NFIX,NFIX,homo_sapiens,26,11,4,11,26
19,ENSMUSG00000001911,NFIX,Nfix,mus_musculus,14,5,4,5,14
19,ENSXETG00000016718,NFIX,nfix,xenopus_tropicalis,8,2,4,2,8
19,FBgn0042696,NFIX,NfI,drosophila_melanogaster,5,2,1,2,5
19,WBGene00003592,NFIX,nfi-1,caenorhabditis_elegans,7,3,1,3,7
21,ENSG00000009709,PAX7,PAX7,homo_sapiens,18,3,9,6,18
21,ENSMUSG00000028736,PAX7,Pax7,mus_musculus,15,2,9,4,15
21,ENSXETG00000018527,PAX7,pax7,xenopus_tropicalis,13,1,9,3,13
21,FBgn0001148,PAX7,gsb,drosophila_melanogaster,13,1,10,2,13
21,WBGene00003939,PAX7,pax-3,caenorhabditis_elegans,10,1,7,2,10
22,ENSG00000009950,MLXIPL,MLXIPL,homo_sapiens,15,7,3,5,15
22,ENSMUSG00000005373,MLXIPL,Mlxipl,mus_musculus,10,4,3,3,10
22,ENSXETG00000030310,MLXIPL,MLXIPL,xenopus_tropicalis,7,1,3,0,7
22,FBgn0032940,MLXIPL,Mio,drosophila_melanogaster,24,11,2,11,24
22,WBGene00003378,MLXIPL,mml-1,caenorhabditis_elegans,6,2,2,2,6
25,ENSG00000010818,HIVEP2,HIVEP2,homo_sapiens,19,3,4,12,19
25,ENSMUSG00000015501,HIVEP2,Hivep2,mus_musculus,22,4,4,14,22
25,ENSXETG00000023284,HIVEP2,hivep2,xenopus_tropicalis,8,1,3,7,8
25,FBgn0003396,HIVEP2,shn,drosophila_melanogaster,49,6,1,42,49
25,WBGene00004862,HIVEP2,sma-9,caenorhabditis_elegans,71,14,1,51,71
30,ENSG00000012817,KDM5D,KDM5D,homo_sapiens,29,6,5,18,29
30,ENSMUSG00000056673,KDM5D,Kdm5d,mus_musculus,14,2,5,7,14
30,ENSXETG00000007178,KDM5D,kdm5c,xenopus_tropicalis,10,1,5,4,10
30,WBGene00004319,KDM5D,rbr-2,caenorhabditis_elegans,11,2,1,8,11
31,ENSG00000016082,ISL1,ISL1,homo_sapiens,20,2,12,6,20
31,ENSMUSG00000042258,ISL1,Isl1,mus_musculus,20,2,12,6,20
31,ENSXETG00000004188,ISL1,isl1,xenopus_tropicalis,16,1,13,2,16
31,FBgn0003896,ISL1,tup,drosophila_melanogaster,19,3,7,9,19
31,WBGene00002989,ISL1,lim-7,caenorhabditis_elegans,11,1,7,3,11
34,ENSG00000020256,ZFP64,ZFP64,homo_sapiens,79,9,5,65,79
34,ENSMUSG00000027551,ZFP64,Zfp64,mus_musculus,33,4,5,24,33
34,ENSXETG00000012327,ZFP64,zfp64,xenopus_tropicalis,13,1,4,8,13
34,WBGene00009553,ZFP64,F39B2.1,caenorhabditis_elegans,7,1,1,5,7
35,ENSG00000020633,RUNX3,RUNX3,homo_sapiens,9,3,3,3,9
35,ENSMUSG00000070691,RUNX3,Runx3,mus_musculus,7,2,3,2,7
35,ENSXETG00000001029,RUNX3,runx3,xenopus_tropicalis,5,1,3,1,5
35,FBgn0003300,RUNX3,run,drosophila_melanogaster,10,3,4,3,10
35,WBGene00004393,RUNX3,rnt-1,caenorhabditis_elegans,3,1,1,1,3
36,ENSG00000025156,HSF2,HSF2,homo_sapiens,6,3,3,0,6
36,ENSMUSG00000019878,HSF2,Hsf2,mus_musculus,5,1,4,0,5
36,ENSXETG00000023290,HSF2,hsf2,xenopus_tropicalis,6,1,5,0,6
36,FBgn0001222,HSF2,Hsf,drosophila_melanogaster,5,4,1,0,5
36,WBGene00002004,HSF2,hsf-1,caenorhabditis_elegans,2,1,1,0,2
38,ENSG00000028277,POU2F2,POU2F2,homo_sapiens,49,14,16,19,49
38,ENSMUSG00000008496,POU2F2,Pou2f2,mus_musculus,25,9,15,16,25
38,ENSXETG00000033156,POU2F2,POU2F2,xenopus_tropicalis,21,1,16,4,21
38,FBgn0004394,POU2F2,pdm2,drosophila_melanogaster,15,4,5,8,15
38,WBGene00000441,POU2F2,ceh-18,caenorhabditis_elegans,11,3,3,5,11
41,ENSG00000029993,HMGB3,HMGB3,homo_sapiens,19,5,4,10,19
41,ENSXETG00000007740,HMGB3,hmgb3,xenopus_tropicalis,8,1,3,4,8
41,FBgn0011764,HMGB3,Dsp1,drosophila_melanogaster,22,7,1,14,22
41,WBGene00001972,HMGB3,hmg-1.2,caenorhabditis_elegans,16,5,1,10,16
