Genes,Celegans,Drosophila,Xenopus,Mice,Human,Human_Celegans,Correlation,perc_celegans_fly,perc_fly_xen,perc_xen_mice,perc_mice_human
EP400,5.2,5.9,6.9,7.6,7.6,1.46,1.00,14.93,15.39,14.49,13.16
TULP3,1.6,2.6,3.6,4.8,5.2,3.25,0.99,31.25,26.63,25.64,20.83
SSBP3,2.6,4,5,5.9,6.4,2.46,0.99,24.04,19.53,18.44,16.95
UBE2L3,1.6,3.3,5,6.9,6.6,4.13,0.99,31.25,22.96,20.91,14.49
ARID4B,1.6,2.6,5.4,7.7,7.1,4.44,0.99,22.89,29.25,20.08,12.99
PRRX1,1.6,3.3,4.7,7.3,7.5,4.69,0.98,27.50,18.99,20.71,13.70
ETV1,3,4.3,6.6,10,10.7,3.57,0.98,13.40,14.34,14.16,10.00
MAK,1,2,3.6,4.8,6.2,6.20,0.98,32.26,29.03,21.51,20.83
CHD3,4.3,4.3,7.5,10.1,10.6,2.47,0.98,9.43,16.45,12.70,9.90
HOXC4,2,2.6,3.8,4.9,6,3.00,0.98,21.67,24.36,21.49,20.41
ING3,1,1.6,3,5.3,5.3,5.30,0.98,30.19,35.38,33.33,18.87
HHEX,2,3.5,6,6,7.2,3.60,0.98,24.31,23.81,13.89,16.67
ZMYND11,1,2,5,9.7,10.4,10.40,0.97,19.23,24.04,18.65,10.31
HOXB4,2,2.6,3.8,3.9,4,2.00,0.97,32.50,36.54,25.66,25.64
PARP1,2,2.3,3.9,6,6.6,3.30,0.97,17.42,25.69,23.31,16.67
ZNF260,2.8,5,6.3,7.2,8.7,3.11,0.97,20.53,14.48,13.14,13.89
FOXB1,1.6,2.6,4.2,4.2,4.6,2.88,0.97,35.33,35.12,21.74,23.81
FOXD2,1.6,2.6,4.2,4.2,4.6,2.88,0.97,35.33,35.12,21.74,23.81
ARNT,4.2,6.2,7.5,10,9.3,2.21,0.97,15.87,13.01,14.34,10.00
CHD4,4.3,4.3,6.6,9.7,9.7,2.26,0.96,10.31,15.82,15.15,10.31
ARNT2,4.2,6.2,7,10.3,10.2,2.43,0.96,14.47,11.07,14.43,9.71
HCFC1,2.6,4.3,4.9,7.6,7.6,2.92,0.96,21.76,14.99,20.41,13.16
TRAF6,1,2.6,4.6,4.6,6.6,6.60,0.96,39.39,26.81,15.15,21.74
NEUROG3,1.6,2.3,3.2,3.3,3.3,2.06,0.96,43.56,42.16,31.25,30.30
FOXF2,2.3,2.6,3.8,4,3.8,1.65,0.96,29.75,38.46,27.70,25.00
SF1,4,5.9,6.3,8.6,9.4,2.35,0.96,15.69,11.36,14.52,11.63
TDRD3,1,1,3,6.1,6.9,6.90,0.95,14.49,43.48,29.47,16.39
SSRP1,2,2.6,3.3,5.5,5.3,2.65,0.95,24.53,23.95,31.45,18.18
SMARCAD1,1,1,3,4,5.8,5.80,0.95,17.24,51.72,22.99,25.00
EHMT1,3.6,7.5,8.5,12.5,11.5,3.19,0.95,18.12,9.86,12.79,8.00
ARID4A,1.6,2.6,6.1,5.4,7.9,4.94,0.95,20.57,29.70,11.21,18.52
ZNF142,4,3,8,9.1,9.2,2.30,0.94,8.15,28.99,12.36,10.99
SP1,2.6,5.6,7.1,9.9,8.5,3.27,0.94,25.34,14.92,16.40,10.10
FOXN3,2,5,5.3,7.7,9.2,4.60,0.94,27.17,11.52,15.79,12.99
MYEF2,3.6,3,5.6,8.3,7.4,2.06,0.93,11.26,25.23,20.03,12.05
PAX7,3.8,4.3,4.8,6.2,7.3,1.92,0.93,15.50,15.29,17.69,16.13
EHMT2,3.6,7.5,7.6,11.7,11.3,3.14,0.93,18.44,8.97,13.62,8.55
BAZ1A,4,4.3,5.3,8.8,8.6,2.15,0.93,12.50,14.33,19.31,11.36
TULP2,1.6,2.6,2.6,4.2,4.9,3.06,0.92,33.16,20.41,32.97,23.81
SETD3,1,1,2,4.9,5.6,5.60,0.92,17.86,35.71,43.75,20.41
TFAP2B,2,2.6,3.3,3.9,3.3,1.65,0.92,39.39,38.46,35.81,25.64
PSIP1,2,2,3,6.6,7.2,3.60,0.91,13.89,20.83,30.56,15.15
SMAD1,1,5,4.9,6.9,9.6,9.60,0.90,52.08,10.21,14.67,14.49
KAT8,2,2.3,2.6,3.3,4.3,2.15,0.90,26.74,26.29,29.52,30.30
HCFC2,2.6,4.3,4.3,6.3,5.6,2.15,0.90,29.53,17.86,26.16,15.87
BNC2,1,3,3,9.1,8.4,8.40,0.90,35.71,11.90,36.11,10.99
EYA2,1,1.6,2,3,4.6,4.60,0.90,34.78,27.17,32.61,33.33
PRRX2,1.6,3.3,4.7,6.7,4.9,3.06,0.90,42.09,29.07,29.09,14.93
TUB,1.6,2.6,2.6,4.8,4.2,2.63,0.90,38.69,23.81,43.96,20.83
PBX1,1.6,4,3.6,6.6,8.5,5.31,0.90,29.41,10.59,21.57,15.15
TULP1,1.6,2.6,2.6,5.2,4.6,2.88,0.90,35.33,21.74,43.48,19.23
MYT1,1,2.6,2.6,4.2,3.6,3.60,0.90,72.22,27.78,44.87,23.81
E2F4,1,2,2,2.6,3.6,3.60,0.90,55.56,27.78,36.11,38.46
RREB1,2.3,6.9,5.8,11.5,11.7,5.09,0.90,25.64,7.18,16.95,8.70
