id,gene,isoforms,paralogues,motifs,complexity,name,species
0,ENSG00000001167,2,1,2,5,NFYA,homo_sapiens
,ENSMUSG00000023994,9,1,7,17,Nfya,mus_musculus
,ENSXETG00000011865,2,1,4,7,nfya,xenopus_tropicalis
,FBgn0035993,1,1,1,3,Nf-YA,drosophila_melanogaster
,WBGene00011614,1,2,1,4,nfya-1,caenorhabditis_elegans
,WBGene00043056,3,2,3,8,nfya-2,caenorhabditis_elegans
1,ENSG00000004848,1,15,2,18,ARX,homo_sapiens
,ENSMUSG00000035277,2,13,2,19,Arx,mus_musculus
,ENSXETG00000021832,1,13,2,16,arx,xenopus_tropicalis
,FBgn0023489,1,10,0,12,Pph13,drosophila_melanogaster
2,ENSG00000005073,2,17,2,21,HOXA11,homo_sapiens
,ENSMUSG00000038210,1,16,1,18,Hoxa11,mus_musculus
,ENSXETG00000000732,1,14,1,16,hoxa11,xenopus_tropicalis
,FBgn0000015,7,1,7,15,Abd-B,drosophila_melanogaster
3,ENSG00000005102,4,20,3,27,MEOX1,homo_sapiens
,ENSMUSG00000001493,1,20,1,22,Meox1,mus_musculus
,FBgn0014949,1,11,1,13,btn,drosophila_melanogaster
,WBGene00000436,1,6,1,8,ceh-12,caenorhabditis_elegans
4,ENSG00000005436,7,2,0,9,GCFC2,homo_sapiens
,ENSMUSG00000035125,2,2,0,4,Gcfc2,mus_musculus
,ENSXETG00000007803,2,2,0,4,gcfc2,xenopus_tropicalis
,FBgn0037466,3,1,0,4,CG1965,drosophila_melanogaster
,WBGene00009672,2,1,0,3,F43G9.12,caenorhabditis_elegans
5,ENSG00000005513,1,17,1,19,SOX8,homo_sapiens
,ENSMUSG00000024176,3,16,3,22,Sox8,mus_musculus
,ENSXETG00000005746,1,14,1,16,sox8,xenopus_tropicalis
,FBgn0024288,1,7,1,9,Sox100B,drosophila_melanogaster
6,ENSG00000005801,17,49,89,155,ZNF195,homo_sapiens
,ENSMUSG00000030446,2,23,32,57,Zfp273,mus_musculus
,ENSMUSG00000048280,5,23,31,59,Zfp738,mus_musculus
,ENSMUSG00000051037,2,23,25,50,Zfp455,mus_musculus
,ENSMUSG00000052909,1,23,10,34,Gm9894,mus_musculus
,ENSMUSG00000055341,1,23,19,43,Zfp457,mus_musculus
,ENSMUSG00000055480,1,23,24,25,Zfp458,mus_musculus
,ENSMUSG00000055560,1,23,5,24,Zfp459,mus_musculus
,ENSMUSG00000057842,3,23,60,86,Zfp595,mus_musculus
,ENSMUSG00000058331,2,23,30,55,Zfp85,mus_musculus
,ENSMUSG00000058883,2,23,34,59,Zfp708,mus_musculus
,ENSMUSG00000058900,1,23,13,37,Rsl1,mus_musculus
,ENSMUSG00000059839,1,23,13,37,Zfp874b,mus_musculus
,ENSMUSG00000069184,1,23,15,39,Zfp72,mus_musculus
,ENSMUSG00000069206,2,23,13,38,Zfp874a,mus_musculus
,ENSMUSG00000071281,3,23,32,58,Zfp65,mus_musculus
,ENSMUSG00000071291,4,23,43,70,Zfp58,mus_musculus
,ENSMUSG00000074824,1,23,11,35,Rslcan18,mus_musculus
,ENSMUSG00000078994,2,23,14,39,Zfp429,mus_musculus
,ENSMUSG00000078995,2,23,13,38,Zfp456,mus_musculus
,ENSMUSG00000090659,2,23,13,38,Zfp493,mus_musculus
,ENSMUSG00000097333,3,23,19,45,Zfp87,mus_musculus
,ENSMUSG00000098905,1,23,9,33,Zfp953,mus_musculus
,ENSMUSG00000100235,1,23,17,41,Gm28557,mus_musculus
7,ENSG00000005889,7,4,65,76,ZFX,homo_sapiens
,ENSMUSG00000000103,2,5,18,25,Zfy2,mus_musculus
,ENSMUSG00000053211,2,5,18,25,Zfy1,mus_musculus
,ENSMUSG00000079509,5,5,39,49,Zfx,mus_musculus
,ENSXETG00000007785,1,3,13,17,zfx,xenopus_tropicalis
,FBgn0259785,2,1,10,13,pzg,drosophila_melanogaster
8,ENSG00000006047,2,3,0,5,YBX2,homo_sapiens
,ENSMUSG00000018554,3,3,0,6,Ybx2,mus_musculus
,ENSXETG00000025267,1,3,1,5,ybx2,xenopus_tropicalis
,FBgn0022959,2,1,0,3,yps,drosophila_melanogaster
,WBGene00000472,1,0,0,1,cey-1,caenorhabditis_elegans
,WBGene00000473,1,4,0,5,cey-2,caenorhabditis_elegans
,WBGene00000474,2,4,0,6,cey-3,caenorhabditis_elegans
,WBGene00000475,2,4,0,6,cey-4,caenorhabditis_elegans
9,ENSG00000006194,8,8,30,46,ZNF263,homo_sapiens
,ENSMUSG00000022529,2,7,19,28,Zfp263,mus_musculus
,ENSXETG00000021690,1,1,1,3,0,xenopus_tropicalis
10,ENSG00000006377,2,21,2,25,DLX6,homo_sapiens
,ENSMUSG00000029754,3,22,2,28,Dlx6,mus_musculus
