index,id,gene,species
0,ENSMUSG00000023994,NFYA,mus_musculus
0,ENSXETG00000011865,NFYA,xenopus_tropicalis
0,FBgn0035993,NFYA,drosophila_melanogaster
0,WBGene00043056,NFYA,caenorhabditis_elegans
0,ENSG00000001167,NFYA,homo_sapiens
1,ENSMUSG00000035277,ARX,mus_musculus
1,ENSXETG00000021832,ARX,xenopus_tropicalis
1,FBgn0000061,ARX,drosophila_melanogaster
1,ENSG00000004848,ARX,homo_sapiens
2,ENSMUSG00000038210,HOXA11,mus_musculus
2,ENSXETG00000000732,HOXA11,xenopus_tropicalis
2,FBgn0000015,HOXA11,drosophila_melanogaster
2,ENSG00000005073,HOXA11,homo_sapiens
3,ENSMUSG00000001493,MEOX1,mus_musculus
3,FBgn0014949,MEOX1,drosophila_melanogaster
3,ENSG00000005102,MEOX1,homo_sapiens
4,ENSMUSG00000035125,GCFC2,mus_musculus
4,ENSXETG00000007803,GCFC2,xenopus_tropicalis
4,FBgn0037466,GCFC2,drosophila_melanogaster
4,WBGene00009672,GCFC2,caenorhabditis_elegans
4,ENSG00000005436,GCFC2,homo_sapiens
5,ENSMUSG00000024176,SOX8,mus_musculus
5,ENSXETG00000005746,SOX8,xenopus_tropicalis
5,FBgn0024288,SOX8,drosophila_melanogaster
5,ENSG00000005513,SOX8,homo_sapiens
6,ENSMUSG00000097333,ZNF195,mus_musculus
6,ENSG00000005801,ZNF195,homo_sapiens
7,ENSMUSG00000079509,ZFX,mus_musculus
7,ENSXETG00000007785,ZFX,xenopus_tropicalis
7,FBgn0259785,ZFX,drosophila_melanogaster
7,ENSG00000005889,ZFX,homo_sapiens
8,ENSMUSG00000018554,YBX2,mus_musculus
8,ENSXETG00000025267,YBX2,xenopus_tropicalis
8,FBgn0022959,YBX2,drosophila_melanogaster
8,WBGene00000472,YBX2,caenorhabditis_elegans
8,ENSG00000006047,YBX2,homo_sapiens
9,ENSMUSG00000022529,ZNF263,mus_musculus
9,ENSG00000006194,ZNF263,homo_sapiens
10,ENSMUSG00000029754,DLX6,mus_musculus
10,ENSXETG00000016573,DLX6,xenopus_tropicalis
10,FBgn0000157,DLX6,drosophila_melanogaster
10,ENSG00000006377,DLX6,homo_sapiens
11,ENSMUSG00000004151,ETV1,mus_musculus
11,ENSXETG00000005062,ETV1,xenopus_tropicalis
11,FBgn0039225,ETV1,drosophila_melanogaster
11,ENSG00000006468,ETV1,homo_sapiens
12,ENSMUSG00000023079,GTF2IRD1,mus_musculus
12,ENSXETG00000033663,GTF2IRD1,xenopus_tropicalis
12,ENSG00000006704,GTF2IRD1,homo_sapiens
13,ENSMUSG00000027168,PAX6,mus_musculus
13,ENSXETG00000032534,PAX6,xenopus_tropicalis
13,FBgn0019650,PAX6,drosophila_melanogaster
13,WBGene00006870,PAX6,caenorhabditis_elegans
13,ENSG00000007372,PAX6,homo_sapiens
